year,serial,hwtsupp,region,statefip,county,ownershp,phone,month,pernum,wtsupp,famsize,nchild,nchlt5,eldch,age,sex,race,marst,educ,empstat,labforce,occ,ind,wkswork1,hrswork,incwage,poverty,vetstat,health,migsta1,whymove,migrate1
2012,24908,1521.1,East North Central Division,Illinois,0,With cash rent,"Yes, phone in household",March,4,2912.46,4 family members present,0 children present,No children under age 5,NIU,Under 1 year,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Excellent,NIU,NIU,NIU
2012,64749,1788.99,West South Central Division,Arkansas,0,Owned or being bought,"Yes, phone in household",March,1,1788.99,2 family members present,0 children present,No children under age 5,NIU,80,Male,White,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Excellent,Same house,NIU,Same house
2012,39824,1293.9399,West North Central Division,Kansas,0,With cash rent,"Yes, phone in household",March,1,1293.9399,2 family members present,0 children present,No children under age 5,NIU,21,Male,White,"Married, spouse present",Some college but no degree,Armed Forces,"Yes, in the labor force",0,0,52 weeks,NIU,32000,150 percent and above the low-income level,NIU,Very good,Kansas,For cheaper housing,Moved within county
2012,78541,2197.3501,Mountain Division,New Mexico,35001,Owned or being bought,"Yes, phone in household",March,1,2197.3501,2 family members present,0 children present,No children under age 5,NIU,65,Female,White,"Married, spouse present",Master's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,62204,1879.47,East South Central Division,Alabama,0,With cash rent,"Yes, phone in household",March,2,1999.55,3 family members present,0 children present,No children under age 5,NIU,9,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,43327,1516.03,South Atlantic Division,Maryland,24013,Owned or being bought,"Yes, phone in household",March,1,1516.03,2 family members present,0 children present,No children under age 5,NIU,78,Male,White,"Married, spouse present",Doctorate degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Good,Same house,NIU,Same house
2012,73870,638.65997,Mountain Division,Idaho,0,Owned or being bought,"Yes, phone in household",March,4,639.35999,5 family members present,0 children present,No children under age 5,NIU,13,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,75106,168.21001,Mountain Division,Wyoming,0,Owned or being bought,"Yes, phone in household",March,7,125.82,7 family members present,0 children present,No children under age 5,NIU,1,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,89045,1468.86,Pacific Division,California,6059,With cash rent,"Yes, phone in household",March,4,1717.96,4 family members present,0 children present,No children under age 5,NIU,5,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,94125,179.92,Pacific Division,Alaska,0,No cash rent,"Yes, phone in household",March,1,179.92,4 family members present,0 children present,No children under age 5,NIU,70,Male,White,"Married, spouse present",High school diploma or equivalent,"NILF, unable to work","No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Poor,Same house,NIU,Same house
2012,3204,471.79001,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,2,471.79001,3 family members present,1 child present,No children under age 5,20,45,Male,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",2320,7860,52 weeks,60 hours,65000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,79484,1600.36,Mountain Division,Arizona,4013,With cash rent,"No, no phone available",March,1,1600.36,1 family member present,0 children present,No children under age 5,NIU,38,Male,White,Never married/single,Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,Below poverty,No service,Good,Same house,NIU,Same house
2012,37600,211.45,West North Central Division,South Dakota,0,With cash rent,"Yes, phone in household",March,6,215.56,8 family members present,0 children present,No children under age 5,NIU,9,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,73985,1014.23,Mountain Division,Idaho,0,Owned or being bought,"Yes, phone in household",March,1,1014.23,2 family members present,0 children present,No children under age 5,NIU,76,Male,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,32807,677.16998,West North Central Division,Iowa,0,Owned or being bought,"Yes, phone in household",March,4,527.5,4 family members present,0 children present,No children under age 5,NIU,9,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,2687,433.26999,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,1,433.26999,2 family members present,0 children present,No children under age 5,NIU,63,Male,White,"Married, spouse present",High school diploma or equivalent,"Has job, not at work last week","Yes, in the labor force",3850,9470,52 weeks,NIU,45000,150 percent and above the low-income level,Yes,Good,Same house,NIU,Same house
2012,61209,3466.05,East South Central Division,Tennessee,0,Owned or being bought,"Yes, phone in household",March,2,3466.05,3 family members present,0 children present,No children under age 5,NIU,78,Male,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,16613,1627.4399,Middle Atlantic Division,New Jersey,34021,With cash rent,"Yes, phone in household",March,2,1654.71,3 family members present,0 children present,No children under age 5,NIU,15,Male,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,NIU,Good,Same house,NIU,Same house
2012,19728,1773.4,East North Central Division,Ohio,0,Owned or being bought,"Yes, phone in household",March,1,1773.4,1 family member present,0 children present,No children under age 5,NIU,53,Male,American Indian/Aleut/Eskimo,Divorced,High school diploma or equivalent,At work,"Yes, in the labor force",8930,1870,52 weeks,44 hours,85000,150 percent and above the low-income level,Yes,Very good,Same house,NIU,Same house
2012,89436,3421.8,Pacific Division,California,6055,Owned or being bought,"Yes, phone in household",March,1,3421.8,1 family member present,0 children present,No children under age 5,NIU,60,Male,White,Widowed,Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,79679,3281.0801,Mountain Division,Arizona,4013,Owned or being bought,"Yes, phone in household",March,1,3281.0801,1 family member present,0 children present,No children under age 5,NIU,36,Male,White,Never married/single,"Associate's degree, academic program",At work,"Yes, in the labor force",1410,3390,52 weeks,40 hours,80000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,19916,1812.23,East North Central Division,Ohio,0,Owned or being bought,"Yes, phone in household",March,3,2035.09,5 family members present,0 children present,No children under age 5,NIU,5,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,49441,686.26001,South Atlantic Division,West Virginia,0,With cash rent,"Yes, phone in household",March,2,837.69,5 family members present,0 children present,No children under age 5,NIU,18,Male,White,Never married/single,Grade 11,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Excellent,West Virginia,Other family reason,Moved within county
2012,91576,1365.41,Pacific Division,California,6073,Owned or being bought,"Yes, phone in household",March,1,1365.41,2 family members present,0 children present,No children under age 5,NIU,72,Male,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",4920,7070,NIU,3 hours,0,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,38731,532.48999,West North Central Division,Nebraska,0,With cash rent,"No, no phone available",March,2,516.16998,5 family members present,0 children present,No children under age 5,NIU,17,Male,Black/Negro,Never married/single,Grade 10,At work,"Yes, in the labor force",4110,8680,NIU,20 hours,0,Below poverty,No service,Excellent,Same house,NIU,Same house
2012,3597,272.92999,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,1,272.92999,4 family members present,2,No children under age 5,17,47,Male,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",20,1490,52 weeks,50 hours,90000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,37883,215.78,West North Central Division,South Dakota,0,Owned or being bought,"Yes, phone in household",March,2,215.78,5 family members present,3,No children under age 5,14,41,Male,White,"Married, spouse present","Associate's degree, occupational/vocational program",At work,"Yes, in the labor force",205,180,52 weeks,92 hours,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,43648,1103.28,South Atlantic Division,Maryland,0,Owned or being bought,"Yes, phone in household",March,2,1103.28,2 family members present,0 children present,No children under age 5,NIU,40,Male,Black/Negro,"Married, spouse present",Grade 10,"Unemployed, experienced worker","Yes, in the labor force",4640,8090,NIU,NIU,0,125-149 percent of the low-income level,No service,Good,Same house,NIU,Same house
2012,71088,1271.74,West South Central Division,Texas,0,With cash rent,"Yes, phone in household",March,3,1354.87,5 family members present,0 children present,No children under age 5,NIU,34,Female,White,Never married/single,"Grades 1, 2, 3, or 4",At work,"Yes, in the labor force",4020,8680,52 weeks,35 hours,11000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,42908,1079.92,South Atlantic Division,Maryland,24003,Owned or being bought,"Yes, phone in household",March,1,1079.92,4 family members present,1 child present,No children under age 5,20,46,Male,Black/Negro,"Married, spouse present",High school diploma or equivalent,At work,"Yes, in the labor force",4230,7690,52 weeks,40 hours,0,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,93189,2841.3,Pacific Division,California,6079,With cash rent,"Yes, phone in household",March,1,2841.3,2 family members present,0 children present,No children under age 5,NIU,73,Male,White,"Married, spouse present",High school diploma or equivalent,At work,"Yes, in the labor force",9130,7790,20 weeks,8 hours,15000,150 percent and above the low-income level,Yes,Excellent,Same house,NIU,Same house
